Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
C766,C766,LIN210,LIN-210 BURGER LINOBERG4,F1400,F1400(คนึงนิตย์),,,,
G256,G256,,,,,,,,
H096,H096,,,,,,,,
TMZ304/41,LP 304/41,TMZ70/37,LP70/37,LP10/39,,,,,
TMZ102/39,LP102/39,73HO1487,ROMANDALE COMPLETE,195/32HRAZ,,,,,
TMZ103/39,LP103/39,71HO1083,BOND HAVEN EDIFICE,198/32HRRZ,,,,,
TMZ17/40,LP17/40,73HO1225,COMESTAR STACHNY ET,112/32HRIN,,,,,
TMZ173/43,LP173/43,,,,,,,,
TMZ352/40,LP352/40,7HO4213,ROBTHOM INTEGRITY-ET,"LP499/37,LP112/","LP499/37,LP112/37",,,,
TMZ356/41,LP356/41,TMZ384/38,LP384/38,LP481/38,,,,,
TMZ358/41,LP358/41,TMZ914/37,LP914/37,LP401/37,,,,,
TMZ384/38,LP384/38,73HO1082,MY-KINDA STARSHINE ET 389995,202/32HRN,,,,,
TMZ48/42,LP48/42,TMZ49/37,LP49/37,LP620/38,,,,,
TMZ484/40,LP484/40,73HO1225,COMESTAR STACHNY ET,"LP780/32,LP199/","LP780/32,LP199/32",,,,
TMZ49/37,LP49/37,73HO0629,COTOPIERRE PATRON,98/33HAN,,,,,
TMZ494/38,LP494/38,11HO1340,WALHOWDON CONDUCTOR ENGINEER,112/32HRIN,,,,,
TMZ67/42,LP67/42,TMZ914/37,LP914/37,LP668/38,,,,,
TMZ69/42,LP69/42,TMZ49/37,LP49/37,LP205/38,,,,,
TMZ70/37,LP70/37,73HO0629,COTOPIERRE PATRON,,,,,,
TMZ82/43,LP82/43,,,,,,,,
TMZ914/37,LP914/37,11HO2126,MARLU COMMANDER CLARION,46/33HAN,,,,,
NSH158,NSH158,,,,,,,,
TMZ471/36,TMZ471/36,70HO0396,HANOVERHILL SPOKESMAN,R1467/33,,,,,
XY75,พ่ออุปถัมภ์-75,,100%HF,,50%HF50%BI,,,,
042HF,042HF,GYUS829,,สุดใจ,,,,,
074HF,16370151,7HO1901,WOODBINE VALIANT ELDON-ET,20232,,,,,
079HF,16370154,7HO1901,WOODBINE VALIANT ELDON-ET,SD20416,,,,,
076HF,16370161,7HO1964,PLUSHANSKI J BUCKEYE-ET,0040,,,,,
105HF,16380001,7HO1901,WOODBINE VALIANT ELDON-ET,320418,,,,,
87.5TH212,16410501,14HO1440,ZIELLAND FAST FUTURE,926,,,,,
87.5TH213,16410502,14HO1440,ZIELLAND FAST FUTURE,21872,,,,,
87TH266,16440209,9HO1489,GLEN-TOCTIN SLOCUM,16391239,16391239น้ำตาล,,,,
87TH265,16440211,9HO1729,BRABANT STAR PATRON-ET,NM60028,,,,,
87TH267,16440240,9HO1489,GLEN-TOCTIN SLOCUM,16381570,16381570กระเช้า,,,,
077HF,19370153,8HO1659,HICKS-HOLLOW PROMPT,SD10148,,,,,
102HF,19380101,7HO1964,PLUSHANSKI J BUCKEYE-ET,310004,,,,,
103HF,19380102,7HO3088,APPLENOTCH ROTATE RAMBO,SD31128,,,,,
110HF,19381107,7HO1964,PLUSHANSKI J BUCKEYE-ET,ML12366,,,,,
109HF,19381108,9HO1097,BAYVILLE DAMION-ET,PK30480,,,,,
125HF,19381110,7HO1964,PLUSHANSKI J BUCKEYE-ET,พิกุล,,,,,
117HF,19381112,7HO1964,PLUSHANSKI J BUCKEYE-ET,SD40790,,,,,
119HF,19381113,29HO5641,VALHALLA MARKED DESIGN-ET,PK31451,,,,,
113HF,19390002,7HO1964,PLUSHANSKI J BUCKEYE-ET,ML22573,,,,,
107HF,19390003,7HO1901,WOODBINE VALIANT ELDON-ET,SD40842,,,,,
140HF,19390008,9HO0924,OPPERMAN TONG-ET,03574,,,,,
154HF,19401301,1HO9205,LONDONDALE MERRILL-ET,31703,31703ด่าง,,,,
157HF,19402406,9HO1097,BAYVILLE DAMION-ET,13330022,13330022อีรา,,,,
168HF,19402407,29HO6183,LA-POE K HARDTAC-ET,ML23662,,,,,
170HF,19402710,7HO3804,MAR-BIL COMMAND GEOFFRY-ET,MC30675,MC30675 (เป๋),,,,
171HF,19402711,29HO6183,LA-POE K HARDTAC-ET,350003,,,,,
172HF,19404816,7HO1901,WOODBINE VALIANT ELDON-ET,60842,,,,,
173HF,19404818,71HO1022,SUNNYLODGE SUNRISE ET,SD61146,,,,,
174HF,19404819,39HO0246,MADAWASKA AEROSTAR,DK32193,DK32193 (แสบ),,,,
175HF,19404820,7HO3707,PARADISE-R CLEITUS MATHIE,ML43071,,,,,
87.5TH214,19410004,29HO6706,DIXIE-LEE LIMOUSINE-ET,ML55389,ชมภู่,,,,
87.5TH215,19410006,7HO3804,MAR-BIL COMMAND GEOFFRY-ET,PK1180,แหวน,,,,
114HF,20380061,7HO1964,PLUSHANSKI J BUCKEYE-ET,X000158,X000158(สายฝน),,,,
129HF,20390131,7HO3707,PARADISE-R CLEITUS MATHIE,20330125,,,,,
177HF,20400077,7HO3804,MAR-BIL COMMAND GEOFFRY-ET,20330368,20330368 (กุ้ง),,,,
87.5TH197,20410368,1HO9205,LONDONDALE MERRILL-ET,20320302,20320302 (ดิสต์),,,,
87TH240,20420230,9HO1536,ALVERE MARK SILVER-ET,20340177,,,,,
87TH281,20450252,1HO2162,SANDY-VALLEY ADDIAS-ET,20390372,,,,,
