Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
4HO0260,SKOKIE SENSATION,1113263,WEBER BURKE BUBBLES SENSATION,2314452,DUNLOGGIN GOLDEN PRINCESS,,,,
1308101,SKOKIE SENSATION NED,4HO0260,SKOKIE SENSATION,3235818,SKOKIE PRINCESS L NELLIE,,,,
11HO2004,SKYLINE ELEVATION JOE,7HO0058,ROUND OAK RAG APPLE ELEVATION,7711827,SKYLINE KINGPIN JANE,,,,
1396885,SKYWAY VALLA VISTA DOUBLE,21HO0131,SKYWAY ESTEEM SAM,4496001,SKYWAY VALLA VISTA HOPEFUL,,,,
29HO8669,S-M-E MANDEL COCONUT-ET,23HO0453,LUTZ-MEADOWS E MANDEL-ET,14544597,DE-SU AEROSTAR COKE,,,,
NOR70002,SOLAN AV FLITTIE,7130192-815,NESTOR AV DILLERUD,5123044-684,NOR5123044-684,,,,
39HO0213,SOUTHFORTY FIRST CHOICE,29HO2851,S-W-D VALIANT,3474327,SOUTHFORTY ELEVATION HOPE,,,,
29HO5296,SOUTHWIND BELL OF BAR-LEE,7HO0543,CARLIN-M IVANHOE BELL,11489023,SOUTHWIND VALIANT NAOMA-ET,,,,
1007680,SOVEREIGN COCHRAN,155159,MONTVIC RAG APPLE SOVEREIGN,2836831,BETTY BALGOWNIE KORNDYKE,,,,
174331,SOVEREIGN COMMANDER ANTONIO,155159,MONTVIC RAG APPLE SOVEREIGN,495664,SPRINGBANK PIETJE RUTH,,,,
29HO8933,SPRINGHILL-OH ELLIPSIS-ET,7HO3948,MJR BLACKSTAR EMORY-ET,14584576,MASPRINGHILL CHEROKEE-ET,,,,
21HO0992,SPRING-LANE BRILLIANT BARON,23HO0206,SWEET-HAVEN TRADITION,10661294,SPRING-LANE VB BRILLIANT-ET,,,,
11HO1830,SPRING-LANE BRILLIANT BRAVO,7HO0572,ROCKALLI SON OF BOVA,10661294,SPRING-LANE VB BRILLIANT-ET,,,,
11HO1958,SPRING-LANE BRONSON-ET,23HO0206,SWEET-HAVEN TRADITION,10661294,SPRING-LANE VB BRILLIANT-ET,,,,
8HO1653,SPRUCE-EDEN DOMINANT,23HO0206,SWEET-HAVEN TRADITION,10494005,SPRUCE-EDEN CONDUCTOR DONNA,,,,
91236,SRD JELLYMANS CHESTER,17331180,554 ATHOL M K VULCAN,ANA,ANIMAL NOT AVAILABLE,,,,
21HO0129,ST CROIXCO PIONEER,15HO0054,OSBORNDALE IVANHOE,3676388,ST CROIXCO JESS ROBARTA LU,,,,
3-300,ST TINGBERG,9HO0719,WHITTIER-FARMS NED BOY,37,IDA,,,,
4603,STAFF,1HO1464,BIS-MAY TRADITION CLEITUS,262318,293 LISA,,,,
21HO0369,STAFFORDSHIRE STANDIN JAY-TWIN,14HO0166,SUNNYSIDE STANDOUT-TWIN,5862457,STAFFORDSHIRE SONNY JO,,,,
76HO0238,STAN-BITZIE KIRK BELL BOSS,7HO0543,CARLIN-M IVANHOE BELL,9373141,STAN-BITZIE KIRK MARIE LILY,,,,
11HO2272,STAR-BRIGHT-VU FOUNDATION-ET,29HO2851,S-W-D VALIANT,8900789,KAN-IDA ELEVATION FELECIA SUE,,,,
14HO1160,STARDELL VALIANT WINKEN-ET,29HO2851,S-W-D VALIANT,9398551,STARDELL ROCKET ABBY,,,,
16HO0162,STAR-HI ENHANCER,9HO0584,CAL-CLARK BOARD CHAIRMAN,10309994,CHA CHA VALIANT JAMIE-TWIN,,,,
73HO1965,STARMORE RUDOLPH-ET,39HO0246,MADAWASKA AEROSTAR,4324253,STARMORE RACHELLE-ET,,,,
71HO1226,STARTMORE ROCKET-ET,39HO0246,MADAWASKA AEROSTAR,4324253,STARTMORE RACHELLE-ET,,,,
7982,STARZ,3620413,STREIF,4871562,BIRGIT,,,,
70HO0969,STBVQ RUBENS-ET,28HO0205,DUREGAL ASTRE STARBUCK-ET,4323541,HANOVERHILL STAR ROYAL-ET,,,,
73HO0577,STERK BL MARV ET,15HO0175,LAWCREST MARVEX-TWIN,7844102,KRET-MAR MATT BECKY,,,,
11HO1007,STERK ELVA ROYAL,40HO0096,PACLAMAR ASTRONAUT,5777865,OAK RIDGES ROYAL ELVA,,,,
29HO3139,STERK R A IJON,7HO0058,ROUND OAK RAG APPLE ELEVATION,7489034,GROUND NO-NA-ME HATTIE IJON,,,,
328807,STINEHAVEN SUPREME,288659,THAMESCREST SOVERN SUPREME,ANA,ANIMAL NOT AVAILABLE,,,,
7HO0900,STRAIGHT-PINE ELEVATION PETE,7HO0058,ROUND OAK RAG APPLE ELEVATION,7794869,STRAIGHT-PINE FOND MATT HORNY,,,,
160HO8597,STRATHAIRE SOUTHWIND LUKE-ET,29HO5296,SOUTHWIND BELL OF BAR-LEE,462731,STRATHAIRE INSPIR CHARITY-ET,,,,
26617,STRETO,,STREIF,,OSWITHA,,,,
53031,STREUF,020391/01,ZEUS,6740591,HELLA,,,,
11HO1733,STRICKLER CHAIRMAN RIPPER-ET,9HO0584,CAL-CLARK BOARD CHAIRMAN,9659987,STRICKLER GLENDELL RITA,,,,
11HO2325,STRICKLER MGM GAMBLER-ET,29HO1881,PACLAMAR BOOTMAKER,9189865,STRICKLER CHIEF PRISCILLA,,,,
14HO1301,STRICKLER RO CADILLAC-ET,11HO1479,LEKKER VALIANT ROYALTY,10975888,STRICKLER BELL CAREY-ET,,,,
P520,STRICKLER ROAMER-ET48123,7HO0401,MARSHFIELD ELEVATION TONY,9535500,STRICKLER STARLITE ROSE,,,,
73HO0669,STRICKLER SHOWBOY-ET,29HO2960,OCEAN-VIEW SEXATION,8550007,STRICKLER ASTRONAUT SHELLY,,,,
7978,STROLCH,2090067,STROMER,5115087,ROMINE,,,,
11HO2226,SUE GVS SUGAR BOY-ET,11HO1056,GLEN-VALLEY STAR,8374183,VT-POND-VIEW ROUND-OAK SUE,,,,
P507,SUNBEAM KINGSTAR 2ND TWIN,,STRICKLER STAR BOOTMAKER,,SUNBEAM REFLECTION POLLY,,,,
8HO1301,SUN-BEN BERLIN-ET,71HO7392,ROYBROOK STARLITE,7597174,SUN-BEN ARLINDA JILL,,,,
39HO0642,SUNCOUNTRY HEART BREAKER-ET,28HO0205,DUREGAL ASTRE STARBUCK-ET,4721607,SUNCOUNTRY HEART STARBUCK-TW,,,,
9HO0599,SUNNY-CRAFT CHIEF SPIRIT,40HO2025,PAWNEE FARM ARLINDA CHIEF,7900983,STONERSIDE STAR MOLLY,,,,
72HO0478,SUNNYLODGE ENHANCER BEN,73HO0332,GLENAFTON ENHANCER,3323513,SUNNYLODGE JANE SHIEK,,,,
71HO1022,SUNNYLODGE SUNRISE ET,7HO0980,WALKWAY CHIEF MARK,3775829,SUNNYLODGE ELEVATION JAN,,,,
14HO0166,SUNNYSIDE STANDOUT-TWIN,1038509,BURKGOV INKA DE KOL,4103183,SUNNYSIDE JOAN JEWEL STANDOUT,,,,
8HO1381,SUNRAN CONDUCTOR POPPIE,7HO0195,WAPA ARLINDA CONDUCTOR,9077236,SUNRAN WIPLEDALE PIEBE,,,,
76HO0198,SUNSHINE-DAIRY H DOMINO-ET,76HO0077,MARTIN-PLACE-HL MARK HORACE,14019640,PEN-COL-A STAR DREAM-ET,,,,
7HO4880,SUNSHINE-D-P CMA PROTON,7HO3340,THE CHOICE OF MARK ADAM-ET,13450817,BEACHLAWN BELL CLEITUS PRO,,,,
SW109/37,SW PC 109/37,SWP001,,P79,,,,,
SW90/36,SW PC 90/36,SWP13,,SWP94,,,,,
29HO2851,S-W-D VALIANT,40HO2025,PAWNEE FARM ARLINDA CHIEF,6781299,ALLIED ADMIRAL ROSE VIVIAN,,,,
7HO0547,SWEET-HAVEN ISTAR MONITOR,15HO0103,PENSTATE IVANHOE STAR,7001564,SWEET-HAVEN C D MONA,,,,
23HO0206,SWEET-HAVEN TRADITION,7HO0058,ROUND OAK RAG APPLE ELEVATION,6571518,SWEET HAVEN C D TILDA,,,,
1HO0180,SWISS-HOLO DOUBLE CITATION,29HO1883,CITATION R MAPLE,7328879,SWISS-HOLO CITATION MIA,,,,
29SM0262,SWITZ POLL BUDS DEALER PCB931898,,SWITZ POL BIG BUD,,,,,,
SWPC20/41,SWPC20/41,SW12/35,,P124,,,,,
SWPC20/42,SWPC20/42,SW12/35,,P129,,,,,
SWPC3/42,SWPC3/42,SW12/35,,P100,,,,,
SWPC38/42,SWPC38/42,S10,,P184,,,,,
SWPC5/42,SWPC5/42,SW12/35,,P69,,,,,
NOR70003,SYLVESTER,FRA9663-617,INDIANA,SWE85010620-66,GRACE AV AKERSDAL,,,,
0382111521,TACAUD,0378123022,OFFICIEL,0377112142,NANTAISE,,,,
32617,TAFT,019331091,HALB,900405091,MUSCHI,,,,
52522,TAFTL,32617,TAFT,8430723,WOLGA,,,,
11HO2890,TAHITI ROYALTY BAHAMA-ET,11HO1479,LEKKER VALIANT ROYALTY,12222147,CARNATION CHAIRMAN BELINDA-ET,,,,
52599,TAIFA,,TOP,,KATHE,,,,
7971,TAKT,32617,TAFT,432191991,BERTA,,,,
11HO0037,TALLCORN PABST LEADER,915940,WIS LEADER,3308338,TALLCORN TRANSMITTER KAY BURKE,,,,
14HO0532,TANNENRAIN GLENDELL MOONSHINE,7HO0477,GLENDELL ARLINDA CHIEF,8988639,TANNENRAIN APOLLO MANA,,,,
71HO0779,TARGET-CITY CAPRICORN ET,7HO0401,MARSHFIELD ELEVATION TONY,8528131,PAULO-BRO EMP COLUMBIA,,,,
12FFTA2,TARINKA PARK FATAL DEATH(TILLER),220HO9600,250 FATAL,ANA,ANIMAL NOT AVAILABLE,,,,
CH123,TATTENHALL REGAIN,922,TATTENHALL HUBLOT,6822,TATTENHALL NIVERNAISE,,,,
52575,TAU,32617,TAFT,8421260,DOLLI,,,,
38-23553,TAUNUS,8579105866,PORTUGAL,8580107709,RAINETTE,,,,
79265,TE KURA CASCADE MASTER,62309,DALESEND CASCADE,193873,TE KURA A MISTLETOE VG,,,,
71HO1064,TEDESCO TYRONE ET,73HO0646,KINGSTEAD VALIANT TAB,3473312,TEDESCO ELEVATION PATSY,,,,
73HO1529,TEMPLEDALE ALADIN ET,29HO2851,S-W-D VALIANT,3827649,TEMPLEDALE ADA ENHANCER,,,,
39HO0351,TEMPLEDALE JAVELIN-ET,73HO0646,KINGSTEAD VALIANT TAB,3827652,TEMPLEDALE ROSINA ENHANCER,,,,
23HO0603,TESH-HOLM TRESA INSINGNIA-ET,1HO2053,ROBTHOM INFINITY,14666130,ROCKY-VU T EBONY TRESA-ET,,,,
11HO5089,TESK-HOLM BOURDEAUX-ET,11HO3243,MAIZEFIELD BELLWOOD-ET,14666130,ROCKY-VU T EBONY TRESA-ET,,,,
11HO2163,TESK-HOLM GAMBIT,8HO9602,BARRETT-RANCH IVAN ROCKMAN,8355321,ERNLO ASTRONAUT GEM,,,,
11HO1433,TESK-HOLM MOONSHINE,7HO0477,GLENDELL ARLINDA CHIEF,8615787,TESK-HOLM MYRA MOONSHOT,,,,
11HO5000,TESK-HOLM TRESAS RUBICON-ET,73HO1965,STARMORE RUDOLPH-ET,14666130,ROCKY-VU EBONY TRESA-ET,,,,
1HO0414,TESK-HOLM VALIANT ROCKIE,29HO2851,S-W-D VALIANT,8985852,HOUVALE APOLLO GAIL,,,,
23HO0205,TEUNIS ROUND OAK CORONA,7HO0058,ROUND OAK RAG APPLE ELEVATION,5905442,EL-ORO DUKE JAY,,,,
288659,THAMESCREST SOVERN SUPREME,229203,ALMERSON SOVEREIGN SUPREME,7043340,C THAMES CREST SOUVENIR LASS,,,,
333836,THAMESDALE SUPERSTAR,299855,FAIRLEA ROYAL MARK,ANA,ANIMAL NOT AVAILABLE,,,,
7HO3340,THE CHOICE OF MARK ADAM-ET,7HO0980,WALKWAY CHIEF MARK,10542310,DIAMOND-S TONYS CHOICE,,,,
73HO0549,THISTLE RIDGE LUMBERJACK,319416,CEDELMAR BLACKJACK,2798652,CALORO ROYALTY MOLLY B,,,,
7HO1878,THOMPSON-ACRES HOLLYWOOD,1HO0238,THONYMA ELECTRA,10243001,THOMPSON-ACRES CM HONEY BEE,,,,
1HO0238,THONYMA ELECTRA,15HO0120,HARRISBURG GAY IDEAL,7396653,THONYMA APOLLO ELSA,,,,
11HO2702,THONYMA PASSPORT-ET,9HO0107,ARLINDA JET STREAM-TWIN,9738515,THONYMA CONDUCTOR GAZELLA,,,,
1HO0406,THONYMA SECRET,7HO0457,LOCUST-GLEN IVANHOE ELEVATION,10006578,THONYMA CONDUCTOR SCARLET,,,,
29HO5340,THONYMA TRAD GAYLORD-ET,23HO0206,SWEET-HAVEN TRADITION,9738515,THONYMA CONDUCTOR GAZELLA,,,,
21HO0022,THONYMA VOYAGEUR VEEDICTION,1086797,,,,,,,
11HO3000,THOR-ROWE SS SINBAD-ET,8HO0398,TRI-TOWN STEADY SPIPPER,11602337,BATTIST BELL SWEETS,,,,
7HO1109,THUMB-PRIDE PERFECTOR,14HO0166,SUNNYSIDE STANDOUT-TWIN,8201629,THUMB-PRIDE LUCKY LINDA,,,,
1HO0079,TIDY BURKE ELEVATION,1013415,WIS BURKE IDEAL,3348181,CARINE MERCEDES BURKE IDEAL,,,,
1283917,TIDY BURKE FORTY-NINER,1HO0066,ORMSBY BURKE PONTIAC MOSE,2948519,RAVEN BURKE ELSIE,,,,
15HO0087,TIDY BURKE JERRY,1HO0066,ORMSBY BURKE PONTIAC MOSE,3883576,TIDY BURKE IDEAL,,,,
11HO4493,TIDY-BROOK ROEBUCK ROGER-ET,14HO1114,PARADISE-R ROEBUCK,14451721,TIDY-BROOK SHELBY ELTON-ET,,,,
1HO0138,TIHO APOLLO-TWIN,,Harborcrest Sunshine,,,,,,
21HO0436,TIHO ELEVATION,7HO0058,ROUND OAK RAG APPLE ELEVATION,7202779,TIHO APOLLO JOE LOLA,,,,
29HO4488,TIKVAH SUPERMAN-ET,7HO0900,STRAIGHT-PINE ELEVATION PETE,9394348,SHADY-GROVE CHIEF VICKIE,,,,
11HO5183,TIMLYNN ADAM-ET,73HO1965,STARMORE RUDOLPH-ET,15395352,TIMLYNN WINKEN ARPIL-ET,,,,
29HO7566,TIMLYNN MELSTAR LANCE,29HO5730,ARLINDA MELWOOD-ET,14132502,MISS MELJENTA B-STAR ARPIL,,,,
11HO5284,TIMLYNN THRONE-ET,11HO3562,SHEN-VAL NV LM FORMATION-ET,15716255,REGANCREST HUNTER TIFFANY,,,,
3682103704,TIROL,0380120727,REGNIER,3679104312,PILULE,,,,
034HF,TK1/34,73HO0332,GLENAFTON ENHANCER,3321664,,,,,
038HF,TK12/34,39HO0246,MADAWASKA AEROSTAR,3696477,,,,,
039HF,TK19/34,7HO0543,CARLIN-M IVANHOE BELL,3408985,,,,,
040HF,TK20/34,381256,,3830868,,,,,
035HF,TK4/34,ANA,ANIMAL NOT AVAILABLE,4199249,,,,,
036HF,TK5/34,385385,,4211509,,,,,
037HF,TK9/34,381256,,4298391,,,,,
CHO159,TO TO,369275,,351118,,,,,
7182112812,TOLSTOI,5873132134,ILLUSTRE,7177118335,NUANCE,,,,
7HO1897,TO-MAR BLACKSTAR-ET,9HO0584,CAL-CLARK BOARD CHAIRMAN,9804790,TO-MAR WAYNE HAY,,,,
23HO0604,TO-MAR FOREVER-ET,23HO0453,LUTZ-MEADOWS E MANDEL-ET,14173141,C PLUSHANSKI BSTAR FLUTE-ET,,,,
11HO1862,TO-MAR WISTER-ET,7HO1118,ARLINDA ROTATE,9804790,TO-MAR WAYNE HAY,,,,
11HO4633,TO-MAR-LARWIN CONTRA-ET,11HO2833,ZEE-CAL COMMTION-ET,13976985,TO-MAR BLACKSTAR-ET,,,,
33304/3,TOMBARD,019833,TOMBA,1143132,TREUE,,,,
11HO1507,TOP ELITE HEIDEN ET,29HO2851,S-W-D VALIANT,8765361,HINESBRO ROCKET HEIDI,,,,
20724/1,TOPSCH,32637/03,TOP,0277014,LIESA,,,,
TOPSH,TOPSH,,100%HF,,100%HF,,,,
73HO1197,TOWNSON LAURENT-ET,9HO0719,WHITTIER-FARMS NED BOY,3721357,TOWNSON ELEVATION LINDY,,,,
71HO0843,TOWNSON LINDY-ET,29HO2851,S-W-D VALIANT,8721357,TOWNSON ELEVATION LINDY,,,,
29HO4478,TRADE-RIVER PETES RIVAL CHAMP,7HO0900,STRAIGHT-PINE ELEVATION PETE,9085683,ANTIGUA POLLY ROSEY ELEVATION,,,,
FB2707,TRAWSCOED MONARCH,332095,ULLSWATER ROYAL SOVEREIGN,3057282,TRAWSCOED SUSAN 7th,,,,
8582101412,TREPIDENT,2168105211,DURANDAL,85761009106,MELODIE,,,,
14HO1558,TRICKLE-CREEK SEXTON,29HO2960,OCEAN-VIEW SEXATION,10906227,CROUCH-ACRES HONEY NUGGET,,,,
29HO5100,TRI-DAY VALIANT GOLD,29HO2851,S-W-D VALIANT,8936204,KINGSTEAD RORAE POLLYANNA,,,,
11HO1162,TRI-TOWN MEADOW SKIPPER,1HO0079,TIDY BURKE ELEVATION,6662828,LANGDONHURST JEWEL BONNY,,,,
11HO1233,TRI-TOWN SILVER WAVE,1HO0130,HARBORCREST MARCUS-TWIN,6695159,VIOILET KINGPIN VALERIE,,,,
8HO0398,TRI-TOWN STEADY SPIPPER,29HO2851,S-W-D VALIANT,9110020,TRI-TOWN GAY JOAN,,,,
AB256,TTT MR.RAMSO 256,B576963,TTT MR.MAYRO SUVA 845 B576963,,MISS JC RBK SUGAR126 C612626,,,,
AB217,TTT MRM SUVA 217,,MR.RED MAYRO 257/2 B322438,,MISS SUVA IMP 663 66C 411820,,,,
7HO0825,TWIN-LAWN COMET JIM,7HO0285,WOODBINE PEARL COMET,7664254,TWIN-LAWN CHIEF JILLO,,,,
29HO3064,TWIN-LAWN ELEVATION JASON,7HO0058,ROUND OAK RAG APPLE ELEVATION,7664254,TWIN-LAWN CHIEF JILLO,,,,
23549,ULM,9HO0584,CAL-CLARK BOARD CHAIRMAN,10492553,WILLOW TERRACE ELEVATION LUCKY,,,,
11HO1880,UNITED LOYALTY-ET,11HO2139,PINTA-LANE CONDUCTOR JASON,10994323,CROCKETT FARMS NATASHA-ET,,,,
14HO2427,U-OF-MINN W ENIGMA,1HO1333,CURTMAID EMERALD TARGET,13952990,U-OF-MINN W JAYBOY ENID,,,,
38-23554,URI,0373113901,IVANOHE,3673100023,IRLANDE,,,,
94203,US FLAGSTAFF-ET,9HO1293,IMPERIAL-C NB CURIOUS-ET,14563917,WELCOME MASTERPLAN GINGA-ET,,,,
29HO1904,UTAG IVANHOE ULTIMATE,,Osborndale Ivanhoe  BL TV,,,,,,
29HO4548,UTAG VALIANT FANCY PAUL-ET,29HO2851,S-W-D VALIANT,9410066,TRYDALE FANCY ELEVATION,,,,
4483049965,UWAL HAIR,9HO0584,CAL-CLARK BOARD CHAIRMAN,09128211,NEHLS-INC ASTRO MARVEL,,,,
29HO5641,VALHALLA MARKED DESIGN-ET,7HO0980,WALKWAY CHIEF MARK,10162309,ANDYACRES EL PETE DAPHNE,,,,
11HO7687,VALLEY-DRIVE ZESTY-ET,7HO5375,MARA-THON BW MARSHALL-ET,127971887,VALLEY-DRIVE PATRON ZOPHIE,,,,
1HO3766,VEAZLAND CONQUEST-ET,29HO6183,LA-POE K HARDTAC-ET,14485553,VEAZLAND B STAR CANDY,,,,
8HO1986,VEAZLAND ROTATE DELIGHT-ET,7HO1118,ALINDA ROTATE,11209319,VEAZLAND BELL DENISE,,,,
14HO3234,แรนเจอร์,11HO3686,PARKER AERO WADE-ET,15178107,SCIENTIFIC THOR ROSELYN-ET,,,,
38-24671,VERACRUZ,7173109435,ISIDORE,7980102320,ROUGEOLE,,,,
38-24665,VICOMTE,0378109714,ONU,0378121846,ORANGE,,,,
7984100703,VIGILANT,3280101446,RAGONDIN,7972104541,HORTENSE,,,,
22202,VIGO,7HO0543,CARLIN-M IVANHOE BELL,10432493,BROWNSON GLENDELL ROZZY,,,,
1HO0291,VIGO FARM CHIEF JULIAN,40HO2025,PAWNEE FARM ARLINDA CHIEF,8163535,VIGO ROYAL JEWEL,,,,
14HO0910,VIR-CLAR ENCHANTIN DECAL-ET,7HO0877,COR-VEL ENCHANTMENT,10254025,VIR-CLAR DEWAYNE,,,,
38-24675,VISCONTI,8576100902,MARABOUT(IA),8580108429,RACINE,,,,
11HO3276,VISTA-VIEW CLEITUS BERT-ET,1HO1464,BIS-MAY TRADITION CLEITUS,10806318,VISTA-VIEW BOOTMAKER BELL,,,,
11HO4650,V-TEX ROEBUCK ADVENTURER,14HO1114,PARADISE-R ROEBUCK,14940769,V-TEX CUBBY TEXANA,,,,
38-24679,VULCAIN,2168105211,DURANDAL(IA),8577107816,NOUBA,,,,
11HO4827,WA-DEL BW CHARMER-ET,11HO3243,MAIZEFIELD BELLWOOD-ET,15276129,WA-DEL ELTON CONNIE-ET,,,,
29HO8343,WA-DEL CONVINCER-ET,7HO2236,EMPRISE BELL ELTON,13372706,WA-DEL CLEITUS CINDY-ET,,,,
11HO4416,WA-DEL ELTON BUGLEBOY-ET,7HO2236,EMPRISE BELL ELTON,14310980,WA-DEL LEADMAN BLANCH,,,,
11HO4932,WA-DEL EMORY MINER-ET,7HO3948,MJR BLACKSTAR EMORY-ET,15382832,WA-DEL ELTON MARIETTA-ET,,,,
7HO3994,WA-DEL RC MATT-ET,7HO1897,TO-MAR BLACKSTAR-ET,12677418,VALHALLA MARK MITZY-ET,,,,
77264,WAITKOHE SHAITAN,,70278 WELBURN PG BUTTERMAN 45062,,WAITEKOHE IVAN SHONA VG 174602,,,,
73HO0935,WALH0WDON EAGLE-ET,73HO0332,GLENAFTON ENHANCER,9269695,WALHOWDON STAR IVAN FANCYMAY,,,,
9HO1618,WALHOWDON BSTAR TIDAL-ET,7HO1897,TO-MAR BLACKSTAR-ET,11983729,WALHOWDON ENHN K MARY-ET,,,,
11HO1340,WALHOWDON CONDUCTOR ENGINEER,7HO0195,WAPA ARLINDA CONDUCTOR,8048441,WALHOWDON STAR IVAN ABAGAIL,,,,
11HO1795,WALHOWDON JETSON K FREEDOM-ET,9HO0580,BROWNCROFT JETSON,9269695,WALHOWDON STAR IVAN FANCYMAY,,,,
14HO0714,WALHOWDON PERSUADER ATLAS,14HO0495,PLUSHANSKI PERSUADER,9269695,WALHOWDON STAR IVAN FANCYMAY,,,,
11HO1691,WALHOWDON VISCOUNT-ET,23HO0206,SWEET-HAVEN TRADITION,9269695,WALHOWDON STAR IVAN FANCYMAY,,,,
71HO0713,WALKERBRAE ECLIPSE,7HO0058,ROUND OAK RAG APPLE ELEVATION,2979834,WALKEBRAE MARQUIS BLOSSOM,,,,
7HO0980,WALKWAY CHIEF MARK,40HO2025,PAWNEE FARM ARLINDA CHIEF,8309147,WALLKWAY MATT MAMIE,,,,
21HO0357,WALKWAY MONITOR JOEL,29HO1869,FLEETRIDGE MONITOR,8333628,WALKWAY ELEVATION JEAN,,,,
29HO2894,WALKWAY MONITOR MIKE,29HO1869,FLEETRIDGE MONITOR,6136505,CASH-MAR TRIUNE BURKE MAXINE,,,,
21HO1117,WALNUTDALE BOVA ROCKY-ET,7HO0572,ROCKALLI SON OF BOVA,9635221,HAPPY-HERD CHARMING BETTY,,,,
7HO0195,WAPA ARLINDA CONDUCTOR,40HO2025,PAWNEE FARM ARLINDA CHIEF,5924244,WAPA EXCELLENCY BRIDGET,,,,
1408215,WAPA EXCELLENCY CAESAR,1350230,WAPA DOUBLE EXCELLENCY,4323604,WAPA HURLWOOD SUSIE,,,,
7HO1629,WARDIN BELL GENE,7HO0543,CARLIN-M IVANHOE BELL,10082004,WARDIN KINGPIN GENIE-ET,,,,
151HO0257,WASHCO FENTON-ET,7HO3804,MAR-BIL COMMAND GEOFFRY-ET,14374842,SHEN-VAL NV SW FAWN-ET,,,,
11HO5059,WASHCO-CELSIUS TORNADO-ET,97HO0004,528 ETAZAON CELSIUS-ET,14374842,SHEN-VAL NV SW FAWN-ET,,,,
H3151,WAUREGAN JAMBOREE-ET,8HO2024,ROTHROCK TRADITION LEADMAN,,GERAN STARBUCK JAYLENE-ET,,,,
7HO0191,WAYNE-SPRING FOND APOLLO,15HO0062,HILLTOP APOLLO IVANHOE,6191834,WAYNE-SPRING FOND ARLENE,,,,
1HO3390,WEAVERLINE BENCH EDDIE-ET,29HO6217,SINGING-BROOK BENCHMARK-ET,13930245,WEAVERLINE BLCKSTAR ECHO-ET,,,,
76HO0197,WEAV-LINA SFL ULYSSES-ET,11HO3073,NORRIELAKE CLEITUS LUKE-TW,13798302,MAR-BIL MELWOD BRANDIBEE-ET,,,,
1113263,WEBER BURKE BUBBLES SENSATION,714704,SENSATION MARATHON LAD,2072029,WEBER BURKE BUBBLES,,,,
1HO0577,WEL-BROOK ARCHITECT-ET,7HO0572,ROCKALLI SON OF BOVA,9940542,CHEL-BROOK CHIEF ARLENE,,,,
11HO2554,WEL-BROOK BELLS  ASSIST,7HO0543,CARLIN-M IVANHOE BELL,9940542,CHEL-BROOK CHIEF ARLENE,,,,
11HO2773,WEL-BROOK ROYAL GENTRY-ET,11HO1479,LEKKER VALIANT ROYALTY,11503711,WEL-BROOK B C AGGIE,,,,
11HO5058,WELCOME GUST,29HO6995,PEN-COL DUSTER-ET,15579402,WELCOME MOUNTAIN GALE-ET,,,,
7HO0207,WEL-HI TRIUNE NATE-TWIN,29HO1881,PACLAMAR BOOTMAKER,6446368,ELBANNER SEARS NAOMI,,,,
7HO0765,WENDORFS BRIGADIER,40HO2071,WESTMORELAND BRIGADIER,8553850,WENDORFS STANDOUT REMEY,,,,
9HO0815,WENTLAND BELL ROCKY-ET,7HO0543,CARLIN-M IVANHOE BELL,9425455,CRIPPS DELL CHIEF WILLA,,,,
11HO1415,WERTVIEW ELEVATION CAN-DO,7HO0058,ROUND OAK RAG APPLE ELEVATION,8416416,DAWNDELL MATT CANDICE,,,,
1HO0131,WESTMORELAND BRIDGETTE CAL,1HO0052,ROSAFE CALIBAN,5343630,WESTMORELAND WALLIE BRIDGETTE,,,,
40HO2071,WESTMORELAND BRIGADIER,257174,ROMANDALE DIVIDEND,5343630,WESTMORELAND WALLIE BRIDGETTE,,,,
11HO4089,W-FIVE STERLING RELISTIC,11HO3676,CONANT-ACRES BS STERLING-ET,14529245,W-FIVE LEADMAN RACQUEL,,,,
9HO0680,WHIRLHILL KINGPIN,1104074,WINTERTHUR APOLLO,4227925,OSBORNDALE GAY FOBES,,,,
FB3274,WHITEGROVE GRANDMASTER,0100370457,MASBURY RIO GRANDE RM,0103941578,WHITEGROVE BASHFUL,,,,
FB3398,WHITSBURY CONFORMER,0100379451,DALESEND PERFORMER,0103569276,WHITSBURY CONTRARY,,,,
8HO9123,WHITTIER-FARMS APOLLO ROCKE,15HO0062,HILLTOP APOLLO IVANHOE,4724353,HILL N DALE HARRY LASS,,,,
9HO0719,WHITTIER-FARMS NED BOY,8HO0672,CA-LILL STANDOUT CAVALIER,9094087,MILK-A-LONG SKOKIE DAWN,,,,
39HO0128,WIKKERINK ENGRAVER,39HO0024,MADAWASKA ENDEAVOUR,2560224,WIKKERINK ARLINDA SYLVIA,,,,
17HO0393,WIL-DO CARROLLTON DOMINATOR,7HO0477,GLENDELL ARLINDA CHIEF,7783604,WIL-DO FOND MATT DUSK,,,,
8HO1624,WILEEN BELL EQUITY,7HO0543,CARLIN-M IVANHOE BELL,9442726,WILEEN ELEVATION PEGGY-TWIN,,,,
29HO9025,WIL-HART BW ANDRE,11HO3243,MAIZEFIELD BELLWOOD-ET,14480581,MISS BLACKSTAR ALCIDIA-ET,,,,
29HO6917,WILL-CAN-DO CLEIT EXODUS-ET,1HO1464,BIS-MAY TRADITION CLEITUS,13121819,WILL-CAN-DO MARK ELENA-ET,,,,
